pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_orbeccen,pl_bmasse,pl_rade,pl_dens,pl_eqt,st_teff,st_rad,st_mass,st_lum,st_age,st_met,st_spectype,escape_velocity,stellar_flux,hz_inner,hz_outer,in_hz,orbit_stability,is_rocky,esi,spectral_suitability,stellar_suitability,habitability_score
Kepler-1853 b,Kepler-1853,1,1,Transit,2021.0,48.88819885,,,,1.51862272,,,4821.0,0.788,0.765,-0.40718497696233835,,0.16,,,,0.6461587484981148,1.151919200041788,,,1.0,,0.9929050665039783,0.9844802434215911,0.22834602235982965
Kepler-172 d,Kepler-172,1,4,Transit,2014.0,14.627119,0.118,,,2.25,,739.0820959416841,5526.0,1.085,,,,,,,,,,,,0.0,,0.9403684094483488,,0.07522947275587206
Kepler-1272 b,Kepler-1272,1,1,Transit,2016.0,51.1309704,,,,2.37,,,5926.0,1.09,1.06,0.08857052842669588,3.89,0.06,,,,1.0929125042005141,1.8470373847742407,,,0.0,,0.8265042478067037,0.9991755753136017,0.13606263009648842
Kepler-1854 b,Kepler-1854,1,1,Transit,2021.0,39.83110046,,,,2.58746104,,,5026.0,0.759,0.8,-0.3391850455281974,,0.0,,,,0.6928543205695742,1.2218862013333172,,,0.0,,0.9998497890605708,0.9890130573694068,0.14921889714070413
Kepler-391 b,Kepler-391,1,2,Transit,2014.0,7.4175,0.083,0.46,1100.0,2.5,380.0,930.0,5038.0,2.879,1.27,0.66276,4.365,0.04,K2 III-IV,234.93318199011392,667.7344994412368,2.19481953330013,3.86828906285804,0.0,0.0,1.0,0.0723515833647936,0.9996791625904441,0.9998989708060922,0.3644375776366207
Kepler-1855 b,Kepler-1855,1,1,Transit,2021.0,0.727330983,,,,1.216205,,,3460.0,0.356,0.385,-1.4508874467202477,,0.07,,,,0.20591852640633956,0.3998503088145635,,,1.0,,0.5903603166965461,0.5866175789173301,0.16829205585993678
Kepler-406 b,Kepler-406,1,2,Transit,2014.0,2.42629,,,6.35,1.43,11.82,,5538.0,1.07,1.07,0.10284322189823383,5.84,0.18,,23.601351152503458,,1.1285801520290484,1.940915146617219,,,1.0,,0.9377040524365295,0.9992539711661633,0.3449641021765538
Kepler-1856 b,Kepler-1856,1,1,Transit,2021.0,1.302000046,,,,1.73447868,,,4948.0,0.816,0.782,-0.37377636429053196,,0.14,,,,0.6679593393990699,1.1827736745060116,,,0.0,,0.9993992916086847,0.9868746816628972,0.14903317104509758
Kepler-1273 b,Kepler-1273,1,1,Transit,2016.0,28.625653,,,,2.49,,,5566.0,0.91,0.94,-0.09405251240105479,4.47,0.03,,,,0.8986489909041562,1.5434698992989069,,,0.0,,0.9312847242277263,0.997268039236989,0.14431154068480734
Kepler-1274 b,Kepler-1274,1,1,Transit,2016.0,6.98152703,,,,1.42,,,6179.0,2.17,1.45,0.5647880078224121,2.88,0.11,,,,1.8719761322799937,3.129899328385686,,,1.0,,0.7342556602841442,0.9874446239732269,0.2078615765008574
Kepler-173 b,Kepler-173,1,2,Transit,2014.0,4.263742,0.048,,,1.29,,1182.7957400921068,6031.0,0.949,,,,,,,,,,,,1.0,,0.789612029890291,,0.1431689623912233
Kepler-1857 b,Kepler-1857,1,1,Transit,2021.0,8.94340992,,,,1.96065412,,,6074.0,1.005,0.873,-0.206450147030506,,-0.54,,,,0.7735711684184715,1.299087767981463,,,0.0,,0.7738880918645767,0.9946749823142578,0.1315382961111642
Kepler-523 b,Kepler-523,1,1,Transit,2016.0,5.835983111,,,,1.96,,,5515.0,0.86,0.93,-0.11030968006122703,2.45,-0.03,,,,0.8838172203698511,1.5216117702525283,,,0.0,,0.942764380775552,0.9969815836752917,0.14520986131931457
Kepler-1275 b,Kepler-1275,1,1,Transit,2016.0,3.65691115,,,,1.48,,,6296.0,1.36,1.23,0.31466789003789275,2.51,0.04,,,,1.3970783307411438,2.324697567352553,,,1.0,,0.6884944650422932,0.9998492896419403,0.2050690074783193
Kepler-1858 b,Kepler-1858,1,1,Transit,2021.0,88.07160187,,,,2.42168247,,,4939.0,0.819,0.785,-0.36795620139161606,,0.16,,,,0.6727013778205883,1.191733506668976,,,0.0,,0.9991734528895176,0.9872576505358884,0.1490419117686736
Kepler-1276 b,Kepler-1276,1,1,Transit,2016.0,12.5720095,,,,1.19,,,6188.0,1.21,1.14,0.19916697967765393,3.09,-0.02,,,,1.2283840523162786,2.053063327300331,,,1.0,,0.7307879086327602,0.9996293938593735,0.20843709026077695
Kepler-175 c,Kepler-175,1,2,Transit,2014.0,34.035257,0.213,,,3.1,,582.4223247674971,6064.0,1.01,,,,,,,,,,,,0.0,,0.7775736685358362,,0.06220601896049525
Kepler-1277 b,Kepler-1277,1,1,Transit,2016.0,40.8365012,,,,1.6,,,5578.0,0.92,0.94,-0.09405251240105479,5.01,-0.01,,,,0.8982109091475674,1.5418592244354485,,,0.0,,0.9284480140908801,0.997268039236989,0.14408460387385966
Kepler-1686 b,Kepler-1686,1,1,Transit,2020.0,9.30987,,,,1.42553017,,,5714.96,1.19951,1.02,0.14075,,0.0775,,,,1.1704924998097792,1.9967116336633872,,,1.0,,0.8926213173161162,0.9987706013787226,0.2213236474817999
Kepler-1278 b,Kepler-1278,1,1,Transit,2016.0,3.23941344,,,,1.01,,,6074.0,1.16,1.11,0.1586304257533012,3.31,0.02,,,,1.177715962121574,1.9777836390626835,,,1.0,,0.7738880918645767,0.9994997988929205,0.2118760332716706
