pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_orbeccen,pl_bmasse,pl_rade,pl_dens,pl_eqt,st_teff,st_rad,st_mass,st_lum,st_age,st_met,st_spectype,escape_velocity,stellar_flux,hz_inner,hz_outer,in_hz,orbit_stability,is_rocky,esi,spectral_suitability,stellar_suitability,habitability_score,phl_esi,phl_habitable,phl_hz_con,phl_hz_opt,phl_flux,phl_type,phl_type_temp
Kepler-1254 b,Kepler-1254,1,3,Transit,2016.0,9.99113313,,,,1.55,,,4985.0,0.75,0.78,-0.3776688905833186,5.62,-0.1,,,,0.6639531251940375,1.1734088395990845,,,1.0,0.31149161,0.9999500012499792,0.9866130821723352,0.2290589158520617,0.31149161,0.0,0.0,0.0,38.610906,Terran,Hot
Kepler-118 b,Kepler-118,1,2,Transit,2014.0,7.518496,0.073,,,1.96,,900.5240007505887,5274.0,1.094,,,,,,,,,,,,0.0,0.27347748,0.9834548442217678,,0.0786763875377414,0.27347748,0.0,0.0,0.0,78.768809,Superterran,Hot
Kepler-163 b,Kepler-163,1,2,Transit,2014.0,7.810937,0.078,,,1.05,,873.5192634261676,5776.0,0.917,,,,,,,,,,,,1.0,0.30440374,0.8747502264250874,,0.149980018114007,0.30440374,0.0,0.0,0.0,119.62193,Terran,Hot
Kepler-1255 b,Kepler-1255,1,1,Transit,2016.0,36.2919336,,,,2.32,,,6018.0,1.12,1.08,0.116983144204324,3.55,0.02,,,,1.1250962401903355,1.8939150272738745,,,0.0,0.2702955,0.7942998674478852,0.9993249172693672,0.1334967336046865,0.2702955,0.0,0.0,0.0,40.921324,Superterran,Hot
Kepler-137 c,Kepler-137,1,2,Transit,2014.0,18.735753,0.13,,,1.88,,568.2503235892875,5187.0,0.802,,,,,,,,,,,,0.0,0.30383313,0.992259226410136,,0.0793811638483047,0.30383313,0.0,0.0,0.0,30.207396,Superterran,Hot
Kepler-1256 b,Kepler-1256,1,1,Transit,2016.0,12.4127754,,,,1.49,,,6129.0,1.36,1.17,0.2386505161115656,3.72,0.05,,,,1.2885372650000373,2.158893350872125,,,1.0,0.28515872,0.753328752951289,0.9997254218438986,0.210247079765176,0.28515872,0.0,0.0,0.0,237.10105,Terran,Hot
Kepler-1844 b,Kepler-1844,1,1,Transit,2021.0,3.924510002,,,,3.03648191,,,5776.0,0.849,0.939,-0.0956704270686118,,-0.18,,,,0.8893802114099477,1.5130193968534595,,,0.0,0.20972695,0.8747502264250874,0.9972406583371648,0.1397868641976085,0.20972695,0.0,0.0,0.0,736.45159,Neptunian,Hot
Kepler-1845 b,Kepler-1845,1,1,Transit,2021.0,11.60649967,,,,2.43836702,,,4703.0,0.701,0.686,-0.572865595026369,,-0.14,,,,0.5365852324585585,0.962753437879887,,,0.0,0.27092099,0.9805888700227272,0.9664307767185176,0.1460972639721144,0.27092099,0.0,0.0,0.0,33.737544,Superterran,Hot
Kepler-1257 b,Kepler-1257,1,1,Transit,2016.0,2.668313762,,,,1.52,,,5502.0,0.87,0.9,-0.1601512169623629,4.37,-0.09,,,,0.8349713827439404,1.4383944780011626,,,1.0,0.28066864,0.945538295411538,0.995929862284104,0.2253581539928103,0.28066864,0.0,0.0,0.0,517.15927,Terran,Hot
Kepler-1258 b,Kepler-1258,1,1,Transit,2016.0,0.984940167,,,,0.86,,,5839.0,0.99,0.99,-0.0152768189085752,3.89,-0.07,,,,0.9731531691740248,1.6509141451242282,,,1.0,0.29135175,0.8551940396038102,0.9983411989198256,0.2182994070926926,0.29135175,0.0,0.0,0.0,3073.3207,Terran,Hot
Kepler-1259 b,Kepler-1259,1,1,Transit,2016.0,0.663085258,,,,1.43,,,5053.0,0.77,0.8,-0.3391850455281974,5.25,-0.07,,,,0.6920809126383971,1.2188267624357445,,,1.0,0.28250351,0.9993759725639372,0.9890130573694068,0.2291809918209734,0.28250351,0.0,0.0,0.0,2336.4784,Terran,Hot
Kepler-1260 b,Kepler-1260,1,1,Transit,2016.0,19.1187753,,,,1.77,,,5961.0,1.08,1.06,0.0885705284266958,3.8,0.01,,,,1.0913783882324302,1.8416541555607735,,,0.0,0.27448804,0.8144625029538105,0.9991755753136016,0.1350992905082569,0.27448804,0.0,0.0,0.0,161.01473,Superterran,Hot
Kepler-164 e,Kepler-164,1,4,Transit,2023.0,94.886902,0.4025,0.0,,4.24,,429.0,5888.0,1.097,0.966,-0.0525800575457733,,-0.1,,,5.468751292974439,0.9304075835417668,1.57500619408227,0.0,0.0,0.0,0.29731722,0.8392622893301093,0.9978921989379568,0.1405724238539727,0.29731722,0.0,0.0,0.0,8.0069705,Neptunian,Hot
Kepler-1716 b,Kepler-1716,1,1,Transit,2021.0,35.58100128,,,,2.4247685,,,4894.0,0.684,0.753,-0.431217583297548,,-0.24,,,,0.6266187852576705,1.112735621811574,,,0.0,0.40436966,0.997506225745335,0.9825360795310404,0.1485780236267996,0.40436966,0.0,0.0,0.0,6.4745411,Superterran,Hot
