pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_orbeccen,pl_bmasse,pl_rade,pl_dens,pl_eqt,st_teff,st_rad,st_mass,st_lum,st_age,st_met,st_spectype
WASP-24 b,WASP-24,3,1,Transit,2010.0,2.34121,,0.0,394.1092,15.46842,,,6075.0,1.42,1.43,,,0.0,
WASP-25 b,WASP-25,1,1,Transit,2010.0,3.7648337,,,179.25522155,13.80946422,0.399185,1217.0,5697.0,0.884,0.962,,1.9,-0.2,
WASP-26 b,WASP-26,2,1,Transit,2010.0,2.7566,,0.0,270.1555,13.56289,,,6034.0,1.22,0.86,,,0.16,
WASP-28 b,WASP-28,1,1,Transit,2014.0,3.40883495,0.0442,0.0,282.54945382,13.66374747,0.651163,1456.0,,1.083,0.993,,5.5,,
WASP-29 b,WASP-29,1,1,Transit,2010.0,3.92273,,0.03,73.1009,8.63093,,,4800.0,0.79,0.77,,,0.11,
WASP-2 b,WASP-2,2,1,Transit,2007.0,2.152175,0.03144,,295.89973,12.116929,0.914,1311.0,5180.0,0.866,0.895,-0.31336,,0.12,
WASP-31 b,WASP-31,1,1,Transit,2010.0,3.4059096,0.04659,0.0,151.916,17.363,0.172,,6302.0,1.252,1.163,,,-0.2,
WASP-32 b,WASP-32,1,1,Transit,2010.0,2.71866,,0.0,835.8929,10.76064,,,6140.0,0.95,0.72,,,-0.13,
WASP-33 b,WASP-33,2,1,Transit,2010.0,1.21987,0.0239,,665.21819,17.855937,0.689,2781.7,7430.0,1.444,1.495,,,,
WASP-34 b,WASP-34,1,1,Transit,2010.0,4.31768,,0.04,177.9848,11.209,,,5700.0,0.91,0.96,,,-0.02,
WASP-35 b,WASP-35,1,1,Transit,2011.0,3.16158,,0.0,225.6593,14.5717,,,5990.0,1.08,1.05,,,-0.15,
WASP-36 b,WASP-36,2,1,Transit,2011.0,1.53736596,0.02677,,750.39663,14.874343,1.26,1733.0,5959.0,0.985,1.081,,1.4,-0.26,
WASP-37 b,WASP-37,1,1,Transit,2010.0,3.577469,0.0446,0.0,572.07,13.002,1.53,,5800.0,1.003,0.925,-0.021,,-0.4,
WASP-38 b,WASP-38,1,1,Transit,2010.0,6.87188,,0.03,1093.3352,13.78707,,,6180.0,1.52,1.76,,,-0.02,
WASP-39 b,WASP-39,1,1,Transit,2011.0,4.0552941,0.04828,,89.31023,14.336311,0.167,1166.0,5485.0,0.939,0.913,,8.5,0.01,
WASP-3 b,WASP-3,3,1,Transit,2007.0,1.84683,,0.0,772.3269,15.91678,,,6400.0,1.44,1.62,,,0.0,
WASP-41 b,WASP-41,1,2,Transit,2012.0,3.0524,,0.0,270.1555,12.3299,,,5545.0,0.83,0.81,,,0.06,
WASP-43 b,WASP-43,1,1,Transit,2011.0,0.813475,0.0142,0.0,565.714,10.424,2.939,,4400.0,0.6,0.58,,,-0.05,
WASP-44 b,WASP-44,1,1,Transit,2011.0,2.423804,0.03453,,276.5121,12.3299,0.811,1337.0,5420.0,0.906,0.935,-0.19777,,-0.003,G8 V
WASP-45 b,WASP-45,2,1,Transit,2011.0,3.126089,0.03963,,306.38812,10.603714,1.418,1153.0,5150.0,0.855,0.85,-0.33555,,-0.03,
WASP-46 b,WASP-46,1,1,Transit,2011.0,1.43036763,0.02335,,607.0553,13.159366,1.467,1636.0,5600.0,0.858,0.828,,9.6,-0.3,G6 V
WASP-48 b,WASP-48,1,1,Transit,2011.0,2.14363,,0.0,254.264,16.8135,,,5920.0,1.58,0.88,,,-0.12,
WASP-4 b,WASP-4,1,1,Transit,2007.0,1.338230994,0.02261,,381.3940884,15.12091496,0.647184,1653.0,,0.912,0.899,,,,
WASP-50 b,WASP-50,1,1,Transit,2011.0,1.9551,0.0293,,466.828704,13.069694,1.325,1394.84,5400.0,0.843,0.892,,,,
WASP-5 b,WASP-5,1,1,Transit,2008.0,1.6284279,0.0267,0.038,502.15,12.184,1.64,1706.0,5700.0,1.029,0.96,,5.4,0.09,
WASP-6 b,WASP-6,1,1,Transit,2009.0,3.3610026,,,148.42586607,12.5428494,0.440298,1167.0,5438.0,0.79,0.854,,3.2,-0.15,
WASP-7 b,WASP-7,1,1,Transit,2008.0,4.9546416,0.0617,,305.1168,14.90797,0.55,1487.0,6400.0,1.432,1.276,,2.4,0.0,
WASP-8 b,WASP-8,2,2,Transit,2010.0,8.15872,,0.31,807.2882,12.66617,,,5600.0,1.03,1.34,,,0.17,
XO-1 b,XO-1,1,1,Transit,2006.0,3.94153,,0.0,263.7989,12.77826,,,5750.0,0.88,0.88,,,0.02,
XO-2 N b,XO-2 N,2,3,Transit,2007.0,2.61586178,0.0368,,179.89178,11.130537,0.715,,,0.99,0.971,,,,
XO-3 b,XO-3,1,1,Transit,2007.0,3.19152309,0.04815,0.2791,4217.58296089,14.79585452,7.16,1890.0,6970.0,1.523,1.449,0.69197,0.97,-0.159,
XO-4 b,XO-4,1,1,Transit,2010.0,4.12508,,0.0,451.3186,14.01125,,,6397.0,1.45,1.1,,,-0.04,
XO-5 b,XO-5,1,1,Transit,2008.0,4.1877558,0.0515,0.0,378.2,12.78,1.06,1230.0,5430.0,1.13,1.04,,,0.05,
11 Com b,11 Com,2,1,Radial Velocity,2007.0,323.21,1.178,0.238,4914.89848585,,,,4874.0,13.76,2.09,1.97823,,-0.26,G8 III
alf Ari b,alf Ari,1,1,Radial Velocity,2010.0,380.8,1.2,0.25,572.07,,,,4553.0,13.9,1.5,,,-0.09,
CoRoT-16 b,CoRoT-16,1,1,Transit,2011.0,5.35227,0.0618,0.33,170.032,13.11,0.44,,5650.0,1.19,1.098,,6.73,0.19,G5 V
FU Tau b,FU Tau,1,1,Imaging,2008.0,,800.0,,5085.28,,,2375.0,2838.0,,0.05,-0.69897,0.001,,M7.25
HD 106515 A b,HD 106515 A,2,1,Radial Velocity,2012.0,3626.0,4.48,0.571,6006.9568923,,,,,,0.89,-0.16368,8.2,0.03,G5 V
HD 166724 b,HD 166724,1,1,Radial Velocity,2012.0,5144.0,5.42,0.734,1121.89,,,,5127.0,,0.81,-0.509,4.0,-0.09,K0 IV-V
HD 180314 b,HD 180314,1,1,Radial Velocity,2010.0,394.73,1.448,0.247,7216.92963775,,,,4917.0,9.2,2.6,1.64345,,0.2,
HD 196067 b,HD 196067,2,2,Radial Velocity,2012.0,3413.7,4.71,0.56292,3623.2438398,,,,6072.0,1.71,1.16,0.549,4.2,0.213,G0 V
HD 220689 b,HD 220689,1,1,Radial Velocity,2012.0,2266.4,3.396,0.054,355.33394,,,,5921.0,1.068,1.016,,4.586,-0.07,
HD 27631 b,HD 27631,1,1,Radial Velocity,2012.0,2198.14,3.242,0.141,474.83802,,,,5737.0,0.923,0.944,,4.01,-0.12,
HD 38283 b,HD 38283,1,1,Radial Velocity,2010.0,363.20001,1.02,0.41,127.132,,,,5981.0,1.49,1.37,,,-0.18,
HD 65216 c,HD 65216,3,2,Radial Velocity,2013.0,5370.0,5.75,0.17,645.1949,,,,5612.0,,0.874,,,,
HD 98649 b,HD 98649,1,1,Radial Velocity,2012.0,5384.0,5.97,0.852,3082.9355479,,,,,,0.97,-0.01412,4.44,-0.06,G3/G5 V
HIP 5158 c,HIP 5158,1,2,Radial Velocity,2011.0,9017.76,7.7,0.14,4780.1632,,,,4813.0,0.754089,0.78,-0.5608,,0.17,
Kepler-471 b,Kepler-471,1,1,Transit,2016.0,5.014234575,,,,14.96,,,6733.0,1.8,1.49,,1.58,0.07,
HN Peg b,HN Peg,1,1,Imaging,2006.0,,773.0,,6991.57,11.7768,,,,,,,0.3,,G0 V
HU Aqr AB b,HU Aqr,2,2,Eclipse Timing Variations,2011.0,2390.0,3.6,0.0,1875.197,,,,,,0.88,,,,
HU Aqr AB c,HU Aqr,2,2,Eclipse Timing Variations,2011.0,4368.0,5.4,0.51,1430.235,,,,,,0.88,,,,
LkCa 15 b,LkCa 15,1,2,Imaging,2015.0,,14.7,,,,,,4194.0,1.60711,,,,,
NN Ser c,NN Ser,2,2,Eclipse Timing Variations,2010.0,6987.0,,0.089,3086.11383197,,,,,,0.535,,,,WD
NN Ser d,NN Ser,2,2,Eclipse Timing Variations,2010.0,2880.0,,0.24,696.04421133,,,,,,0.535,,,,WD
nu Oph b,nu Oph,1,2,Radial Velocity,2012.0,529.93,1.765,0.126,6848.56651404,,,,4887.0,12.24,2.61,1.89476,,0.1,K0 III
nu Oph c,nu Oph,1,2,Radial Velocity,2012.0,3180.6,5.829,0.179,7530.30844705,,,,4887.0,12.24,2.61,1.89476,,0.1,K0 III
NY Vir b,NY Vir,2,2,Eclipse Timing Variations,2011.0,3160.0,,0.15,845.4278,,,,32780.0,0.151,0.459,1.37508,,,
Oph 11 b,Oph 11,1,1,Imaging,2006.0,7300000.0,243.0,,4449.62,,,2175.0,2375.0,,0.016,-2.77,5.0,,M9
Kepler-749 b,Kepler-749,1,1,Transit,2016.0,17.31716585,,,,3.1,,,5009.0,0.75,0.79,,4.57,-0.11,
Ross 458 c,Ross 458,2,1,Imaging,2010.0,,1100.0,,1906.98,14.01125,,,,,,,0.5,,
SR 12 AB c,SR 12 AB,2,1,Imaging,2010.0,,,,4131.62,,,,,,,,0.0021,,
tau Gem b,tau Gem,1,1,Radial Velocity,2013.0,305.5,1.17,0.031,6547.0,,,,4388.0,26.8,2.3,,1.22,0.14,K2 III
WASP-23 b,WASP-23,1,1,Transit,2010.0,2.9444256,0.0376,0.062,280.95,10.783,,,5150.0,0.765,0.78,,,-0.05,
KOI-55 b,KOI-55,1,2,Orbital Brightness Modulation,2011.0,0.240104,0.006,,0.44,0.759,,,27730.0,0.203,0.496,1.36,,,B
KOI-55 c,KOI-55,1,2,Orbital Brightness Modulation,2011.0,0.342887,0.0076,,0.655,0.867,,,27730.0,0.203,0.496,1.36,,,B
MOA-2010-BLG-477L b,MOA-2010-BLG-477L,1,1,Microlensing,2012.0,,2.0,,480.0,,,,5950.0,,0.67,,,,
HD 142 c,HD 142,2,3,Radial Velocity,2012.0,10159.64279,9.811,0.277,3464.64746471,,,,,,1.21,,,,
HATS-1 b,HATS-1,1,1,Transit,2012.0,3.446459,0.0444,0.12,589.55,14.594,1.03,1359.0,5870.0,1.038,0.986,0.04139,,-0.06,
WASP-78 b,WASP-78,1,1,Transit,2012.0,2.17518,,0.0,352.7913,21.63337,,,6100.0,2.46,1.87,,,-0.35,
Kepler-750 b,Kepler-750,1,2,Transit,2016.0,9.42887179,,,,3.07,,,6160.0,1.23,1.15,,3.09,0.03,
WASP-79 b,WASP-79,1,1,Transit,2012.0,3.662392,0.0519,0.0,270.15414595,17.14974047,,1716.2,6600.0,1.51,1.39,,,0.03,F5
KELT-1 b,KELT-1,1,1,Transit,2012.0,1.217514,0.02466,0.0099,8654.15,12.442,24.7,,6516.0,1.471,1.335,0.545,,0.052,
KELT-2 A b,KELT-2 A,2,1,Transit,2012.0,4.11379,,0.0,540.311,15.13215,,,6327.0,1.93,1.54,,,0.0,
Kepler-36 b,Kepler-36,1,2,Transit,2012.0,13.86825,,0.0,3.83,1.498,6.26,,5979.0,1.634,1.034,,,-0.18,
GJ 3470 b,GJ 3470,1,1,Radial Velocity,2012.0,3.3366496,0.0355,,13.9,4.57,0.8,593.5,3600.0,0.547,0.539,,,0.2,
BD+20 274 b,BD+20 274,1,1,Radial Velocity,2012.0,578.2,1.3,0.21,1334.886,,,,4296.0,17.3,0.8,1.96,,-0.46,K5 III
HD 219415 b,HD 219415,1,1,Radial Velocity,2012.0,2093.3,3.2,0.4,317.83,,,,4820.0,2.9,1.0,0.62,,-0.04,K0 III
Pr0201 b,Pr0201,1,1,Radial Velocity,2012.0,4.4264,0.06,0.0,171.6282,,,,6174.0,1.15,1.24,,,0.19,
Pr0211 b,Pr0211,2,2,Radial Velocity,2012.0,2.1461,0.03176,0.011,597.5204,,,,5300.0,0.827,0.935,,0.578,0.18,
HD 77338 b,HD 77338,1,1,Radial Velocity,2012.0,5.7361,0.06,0.09,19.0698,,,,5341.0,0.97,1.37,,,0.32,
HD 207832 b,HD 207832,3,2,Radial Velocity,2012.0,160.07,0.586,0.197,177.9848,,,,5726.0,0.89,1.05,-0.11,1.36,0.14,G5 V
HD 207832 c,HD 207832,3,2,Radial Velocity,2012.0,1155.7,2.112,0.27,232.0159,,,,5710.0,0.901,0.94,-0.112,,0.06,
HAT-P-39 b,HAT-P-39,2,1,Transit,2012.0,3.54387,0.0509,0.0,190.372,17.609,0.19,1752.0,6430.0,1.625,1.404,0.607,,0.19,
HAT-P-40 b,HAT-P-40,1,1,Transit,2012.0,4.45724,,0.0,152.5584,17.03768,,,6080.0,1.94,1.03,,,0.22,
HAT-P-41 b,HAT-P-41,2,1,Transit,2012.0,2.69405,,0.0,378.2177,22.97845,,,6390.0,2.05,2.56,,,0.21,
HD 5608 b,HD 5608,2,1,Radial Velocity,2012.0,768.7,1.79,0.11,371.22357938,,,,4807.0,5.43,1.29,1.15473,,0.04,K0 IV
75 Cet b,75 Cet,2,2,Radial Velocity,2012.0,696.62,1.912,0.093,787.89662095,,,,4809.0,10.38,1.92,1.7145,,0.1,G3 III
